,TimeStample,Qi
0,2013-01-01 02:00:00,0.01820053220866596
0,2013-01-01 02:00:00,0.01820053220866596
0,2013-01-01 02:00:00,0.01820053220866596
1,2013-01-01 05:00:00,0.0181955113721946
1,2013-01-01 05:00:00,0.0181955113721946
1,2013-01-01 05:00:00,0.0181955113721946
2,2013-01-01 08:00:00,0.03009489380930862
2,2013-01-01 08:00:00,0.03009489380930862
2,2013-01-01 08:00:00,0.03009489380930862
3,2013-01-01 11:00:00,0.1231962644976653
3,2013-01-01 11:00:00,0.1231962644976653
3,2013-01-01 11:00:00,0.1231962644976653
4,2013-01-01 14:00:00,0.1331776874027213
4,2013-01-01 14:00:00,0.1331776874027213
4,2013-01-01 14:00:00,0.1331776874027213
5,2013-01-01 17:00:00,0.03029572726816288
5,2013-01-01 17:00:00,0.03029572726816288
5,2013-01-01 17:00:00,0.03029572726816288
6,2013-01-01 20:00:00,0.1787216950343927
6,2013-01-01 20:00:00,0.1787216950343927
6,2013-01-01 20:00:00,0.1787216950343927
7,2013-01-01 23:00:00,0.1460661746246925
7,2013-01-01 23:00:00,0.1460661746246925
7,2013-01-01 23:00:00,0.1460661746246925
8,2013-01-02 02:00:00,0.1065220665762916
8,2013-01-02 02:00:00,0.1065220665762916
8,2013-01-02 02:00:00,0.1065220665762916
9,2013-01-02 05:00:00,0.0181854696992519
9,2013-01-02 05:00:00,0.0181854696992519
9,2013-01-02 05:00:00,0.0181854696992519
10,2013-01-02 08:00:00,0.1050308781442988
10,2013-01-02 08:00:00,0.1050308781442988
10,2013-01-02 08:00:00,0.1050308781442988
11,2013-01-02 11:00:00,0.07084400261083496
11,2013-01-02 11:00:00,0.07084400261083496
11,2013-01-02 11:00:00,0.07084400261083496
12,2013-01-02 14:00:00,0.04155746347341466
12,2013-01-02 14:00:00,0.04155746347341466
12,2013-01-02 14:00:00,0.04155746347341466
13,2013-01-02 17:00:00,0.1275995380830446
13,2013-01-02 17:00:00,0.1275995380830446
13,2013-01-02 17:00:00,0.1275995380830446
14,2013-01-02 20:00:00,0.170773710900236
14,2013-01-02 20:00:00,0.170773710900236
14,2013-01-02 20:00:00,0.170773710900236
15,2013-01-02 23:00:00,0.106542149922177
15,2013-01-02 23:00:00,0.106542149922177
15,2013-01-02 23:00:00,0.106542149922177
16,2013-01-03 02:00:00,0.1057538785961741
16,2013-01-03 02:00:00,0.1057538785961741
16,2013-01-03 02:00:00,0.1057538785961741
17,2013-01-03 05:00:00,0.06475372797107998
17,2013-01-03 05:00:00,0.06475372797107998
17,2013-01-03 05:00:00,0.06475372797107998
18,2013-01-03 08:00:00,0.03687302304563939
18,2013-01-03 08:00:00,0.03687302304563939
18,2013-01-03 08:00:00,0.03687302304563939
19,2013-01-03 11:00:00,0.188833659687704
19,2013-01-03 11:00:00,0.188833659687704
19,2013-01-03 11:00:00,0.188833659687704
20,2013-01-03 14:00:00,0.2266706833358437
20,2013-01-03 14:00:00,0.2266706833358437
20,2013-01-03 14:00:00,0.2266706833358437
21,2013-01-03 17:00:00,0.07015112717778782
21,2013-01-03 17:00:00,0.07015112717778782
21,2013-01-03 17:00:00,0.07015112717778782
22,2013-01-03 20:00:00,0.4148717176281568
22,2013-01-03 20:00:00,0.4148717176281568
22,2013-01-03 20:00:00,0.4148717176281568
23,2013-01-03 23:00:00,0.3351860219912637
23,2013-01-03 23:00:00,0.3351860219912637
23,2013-01-03 23:00:00,0.3351860219912637
24,2013-01-04 02:00:00,0.06802229251393281
24,2013-01-04 02:00:00,0.06802229251393281
24,2013-01-04 02:00:00,0.06802229251393281
25,2013-01-04 05:00:00,0.01821559471808003
25,2013-01-04 05:00:00,0.01821559471808003
25,2013-01-04 05:00:00,0.01821559471808003
26,2013-01-04 08:00:00,0.02623387056283576
26,2013-01-04 08:00:00,0.02623387056283576
26,2013-01-04 08:00:00,0.02623387056283576
27,2013-01-04 11:00:00,0.1371642315609781
27,2013-01-04 11:00:00,0.1371642315609781
27,2013-01-04 11:00:00,0.1371642315609781
28,2013-01-04 14:00:00,0.1689712306070191
28,2013-01-04 14:00:00,0.1689712306070191
28,2013-01-04 14:00:00,0.1689712306070191
29,2013-01-04 17:00:00,0.1643118943616007
29,2013-01-04 17:00:00,0.1643118943616007
29,2013-01-04 17:00:00,0.1643118943616007
30,2013-01-04 20:00:00,0.1378219611387257
30,2013-01-04 20:00:00,0.1378219611387257
30,2013-01-04 20:00:00,0.1378219611387257
31,2013-01-04 23:00:00,0.224376161068434
31,2013-01-04 23:00:00,0.224376161068434
31,2013-01-04 23:00:00,0.224376161068434
32,2013-01-05 02:00:00,0.03525631370186273
32,2013-01-05 02:00:00,0.03525631370186273
